id,total_games,win,lose,kill,death,assist,cs,jungle_cs,gold,pick_rate,ban_rate,ward,kills_per_game,deaths_per_game,assists_per_game,wards_per_game,gold_per_game,cs_per_game,jg_cs_per_game,win_rate,region,rank,sumofallgames,name,role1,role2,role3,class_type,archetype_type
1,9831,5117,4714,64687,59602,74325,1475131,49187,107806361,0.0288,0.008927450088612895,18672,6.579900315329061,6.062658936018717,7.5602685382972235,1.8992981385413488,10965.960838164989,150.04892686400163,5.00325500966331,52.04963889736548,na,all,3407916,Annie,Mid,Support,NA,Mage,Burst
2,3828,1825,2003,27913,23856,25534,220013,435571,45274219,0.0112,0.005614574947244502,9185,7.291797283176593,6.231974921630094,6.670323928944619,2.3994252873563218,11827.120950888193,57.47466039707419,113.7855276907001,47.67502612330198,na,all,3407916,Olaf,Jungle,NA,NA,Fighter,Diver
3,10168,5063,5105,42913,58031,107700,1217423,31462,96715678,0.0298,0.003374496308551334,29616,4.220397324940992,5.70721872541306,10.592053501180173,2.912667191188041,9511.770062942565,119.73082218725413,3.094217151848938,49.79346970889063,na,all,3407916,Galio,Mid,Support,NA,Tank,Warden
4,10192,4922,5270,47865,63313,93350,1541795,64793,113859852,0.0299,0.0020986432674638756,20153,4.696330455259027,6.2120290423861855,9.15914442700157,1.977335164835165,11171.492543171114,151.2750196232339,6.357240973312402,48.29277864992151,na,all,3407916,Twisted Fate,Mid,NA,NA,Mage,Burst
5,10443,5074,5369,69162,66556,80499,452205,1163681,117836860,0.0306,0.01641501743497956,28267,6.6228095374892275,6.373264387628076,7.708417121516805,2.706789236809346,11283.813080532414,43.30221200804367,111.43167672124868,48.58757062146893,na,all,3407916,Xin Zhao,Jungle,NA,NA,Fighter,Diver
6,11786,6021,5765,72035,66571,57786,2158649,165632,146066902,0.0346,0.012299305521701224,17030,6.11191243848634,5.648311556083489,4.902935686407602,1.4449346682504667,12393.254878669608,183.15365688104532,14.05328355676226,51.08603427795689,na,all,3407916,Urgot,Top,NA,NA,Fighter,Juggernaut
7,13747,6571,7176,99029,68959,88679,1923145,71445,150412696,0.0403,0.05715193651218211,34285,7.20368080308431,5.016294464246744,6.450789263111952,2.4939986906234086,10941.492398341456,139.89561358841928,5.197133920128028,47.79951989524987,na,all,3407916,LeBlanc,Mid,NA,NA,Slayer,Burst
8,20708,10449,10259,137202,105331,112286,3775226,201578,241548186,0.0608,0.06551276443974198,23445,6.625555340931041,5.08648831369519,5.422348850685725,1.1321711415877922,11664.486478655592,182.30761058528105,9.73430558238362,50.45875989955573,na,all,3407916,Vladimir,Mid,Top,NA,Mage,Battlemage
9,13165,6602,6563,80546,74859,121943,448515,1577057,146504612,0.0386,0.035457740247355034,47663,6.118192176224839,5.686213444739841,9.262666160273453,3.620432966198253,11128.341207747817,34.06874287884543,119.79164451196354,50.1481200151918,na,all,3407916,Fiddlesticks,Jungle,NA,NA,Mage,Specialist
10,23832,12335,11497,129626,135207,126577,4643139,478888,293821041,0.0699,0.0358835134577988,26301,5.439157435381,5.67333836858006,5.311220208123531,1.1036002014098691,12328.84529204431,194.8279204431017,20.094326955354145,51.75814031554212,na,all,3407916,Kayle,Top,NA,NA,Marksman,Specialist
11,19488,9697,9791,179814,135935,98442,858433,2391061,246963890,0.0572,0.11760647938743034,30351,9.226908866995075,6.975318144499179,5.051416256157635,1.5574199507389161,12672.613403119869,44.049312397372745,122.69401683087028,49.75882594417077,na,all,3407916,Master Yi,Jungle,NA,NA,Slayer,Skirmisher
12,12498,6072,6426,24178,77004,166963,471837,6839,95345042,0.0367,0.007771905138008183,63846,1.934549527924468,6.161305808929429,13.359177468394943,5.108497359577532,7628.8239718354935,37.753000480076814,0.5472075532085133,48.5837734037446,na,all,3407916,Alistar,Support,NA,NA,Tank,Vanguard
13,7235,3091,4144,33628,41456,48824,1322121,107375,81011344,0.0212,0.0020282190004658244,14844,4.647961299239807,5.72992398064962,6.748306841741535,2.0516931582584657,11197.144989633725,182.739599170698,14.841050449205252,42.722874913614376,na,all,3407916,Ryze,Mid,Top,NA,Mage,Battlemage
14,36981,17319,19662,148853,286202,187849,7039265,537577,442678660,0.1085,0.10570184245184348,40891,4.025121008085233,7.739163354154837,5.07960844758119,1.1057299694437683,11970.435088288581,190.3481517536032,14.5365728346989,46.83215705362213,na,all,3407916,Sion,Top,Mid,NA,Tank,Vanguard
15,10312,5302,5010,60642,59608,88860,2013333,134744,127845159,0.0303,0.0019657174571015065,18257,5.880721489526765,5.78044996121024,8.617145073700543,1.7704615981380916,12397.707428238946,195.2417571761055,13.066718386346004,51.415826221877424,na,all,3407916,Sivir,Bottom,NA,NA,Marksman,Marksman
16,36242,19315,16927,33467,191287,517938,687645,13624,268324763,0.1063,0.14074877351830795,157084,0.9234313779592738,5.278047569118702,14.291098725235914,4.334308261133492,7403.696346779979,18.97370454169196,0.3759174438496772,53.29452016996854,na,all,3407916,Soraka,Support,NA,NA,Controller,Enchanter
17,13686,6815,6871,75606,88853,75330,2210344,294735,162385732,0.0402,0.04604632279620866,20733,5.524331433581763,6.49225485897998,5.504164839982463,1.5149057430951338,11865.098056408007,161.50401870524624,21.535510740903113,49.795411369282476,na,all,3407916,Teemo,Top,NA,NA,Marksman,Specialist
18,18016,9227,8789,141150,107668,104106,3110941,307027,230491520,0.0529,0.008704439866264641,27819,7.834702486678508,5.976243339253997,5.778530195381883,1.5441274422735347,12793.712255772647,172.67656527531082,17.041907193605685,51.21558614564832,na,all,3407916,Tristana,Bottom,NA,NA,Marksman,Marksman
